RagioneSociale;Nome;Cognome;CAP;Citta;Provincia;Stato;Indirizzo;CompletamentoIndirizzo;CompletamentoNominativo;NomeFile;CodiceFiscale;Telefono;pec;cron
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;example@pec.it;1
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;4
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;;7
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;example@pec.it;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;example@pec.it;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;example@pec.it;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;example@pec.it;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;example@pec.it;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;example@pec.it;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;
;mario;rossi;80132;napoli;Na;italia;via toledo,30;;;1.pdf;VLNGLN76D15L259U;;;
ewt;;;80129;napoli;Na;italia;viale michelangelo,50;Presso Antonio Verdi;srl;2.pdf;;3331767543;example@pec.it;
